0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:53 +0700] "GET /manage_employees/zkau/web/42133cbe/js/zul.lang.wpd HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:54 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:54 +0700] "GET /manage_employees/ HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:54 +0700] "GET /manage_employees/zkau/web/42133cbe/js/zul.lang.wpd HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:55 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:55 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:55 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:55 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:55 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:56 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:08:56 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "POST /manage_employees/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/ HTTP/1.1" 200 1558
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/42133cbe/js/zul.lang.wpd HTTP/1.1" 200 2118
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zul.db.wpd HTTP/1.1" 200 18104
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zul.grid.wpd HTTP/1.1" 200 5631
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zul.mesh.wpd HTTP/1.1" 200 25139
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zk.fmt.wpd HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zul.inp.wpd HTTP/1.1" 200 21642
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/_zv2021081016/js/zul.menu.wpd HTTP/1.1" 200 9726
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/42133cbe/zul/less/font/ZK85Icons.woff?v=4.7.0 HTTP/1.1" 200 10648
0:0:0:0:0:0:0:1 - - [16/Jan/2024:23:09:01 +0700] "GET /manage_employees/zkau/web/42133cbe/zul/less/font/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
