127.0.0.1 - - [19/Jan/2024:00:08:35 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:08:35 +0700] "GET /manage_employees/ HTTP/1.1" 500 4794
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:55 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:56 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:56 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:56 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:56 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:57 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:57 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:57 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:57 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:58 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:58 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:58 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:58 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:09:58 +0700] "GET /manage_employees/ HTTP/1.1" 500 4791
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:23:53 +0700] "GET /manage_employees/ HTTP/1.1" 500 2472
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:23:54 +0700] "GET /manage_employees/ HTTP/1.1" 500 2472
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:23:54 +0700] "GET /manage_employees/ HTTP/1.1" 500 2472
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:24:21 +0700] "GET /manage_employees/ HTTP/1.1" 500 2472
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:24:21 +0700] "GET /manage_employees/ HTTP/1.1" 500 2472
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:24:22 +0700] "GET /manage_employees/ HTTP/1.1" 500 2472
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:24:22 +0700] "GET /manage_employees/ HTTP/1.1" 500 2472
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:27:14 +0700] "GET /manage_employees/ HTTP/1.1" 500 4881
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:27:15 +0700] "GET /manage_employees/ HTTP/1.1" 500 4810
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:33:05 +0700] "GET /manage_employees/ HTTP/1.1" 500 4756
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:33:06 +0700] "GET /manage_employees/ HTTP/1.1" 500 4756
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:33:06 +0700] "GET /manage_employees/ HTTP/1.1" 500 4756
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:33:06 +0700] "GET /manage_employees/ HTTP/1.1" 500 4756
0:0:0:0:0:0:0:1 - - [19/Jan/2024:00:33:30 +0700] "GET /manage_employees/ HTTP/1.1" 500 4756
